numeric_time,Temperature (C)
586680.0,-262.4595150031913
586800.0,-262.46050054073453
586920.0,-262.4614861286965
587040.0,-262.46248155383245
587160.0,-262.4634439049398
587280.0,-262.4643935875951
587400.0,-262.4653840948942
587520.0,-262.46634189395587
587640.0,-262.467349133914
587760.0,-262.46832975895035
588000.0,-262.4692743990888
588120.0,-262.47024240671976
588240.0,-262.4712229134959
588360.0,-262.4721840083983
588480.0,-262.4731820150933
588600.0,-262.4741863815792
588720.0,-262.475150824268
588840.0,-262.4761335244412
588960.0,-262.47707421883894
589080.0,-262.4780616130141
589200.0,-262.4790302151234
589440.0,-262.48000584186207
589560.0,-262.4809582797656
589680.0,-262.4819400393108
589800.0,-262.48288424780503
589920.0,-262.48384412429215
590040.0,-262.484820911071
590160.0,-262.48580561019656
590280.0,-262.48677132186896
590400.0,-262.48775952755494
590520.0,-262.4887541933189
590640.0,-262.48969964643936
590880.0,-262.49069195954496
591000.0,-262.4916452766265
591120.0,-262.4925875478437
591240.0,-262.4935794951796
591360.0,-262.4945777532647
591480.0,-262.4955802679178
591600.0,-262.49652044696364
591720.0,-262.49748251117705
591840.0,-262.49842420220654
591960.0,-262.4994193911543
592080.0,-262.50041829372145
592320.0,-262.5014062797312
592440.0,-262.5023616207602
592560.0,-262.5033070213487
592680.0,-262.5042515233163
592800.0,-262.5052260644792
592920.0,-262.5062131024081
593040.0,-262.5072158268758
593160.0,-262.5081992635256
593280.0,-262.5092003173893
593400.0,-262.5101411641365
593640.0,-262.5110943221853
593760.0,-262.5120238530739
593880.0,-262.51298426967423
594000.0,-262.51391026041216
594120.0,-262.8758991101455
594240.0,-262.8768650785005
594360.0,-262.8778032580377
594480.0,-262.87872752807465
594600.0,-262.87962328346475
594720.0,-262.8805603646591
594840.0,-262.8814558539325
595080.0,-262.8823367198105
595200.0,-262.88329728960827
595320.0,-262.884226729091
595440.0,-262.88518269010393
595560.0,-262.8861303259388
595680.0,-262.8870748989774
595800.0,-262.8880189970377
595920.0,-262.88894482705985
596040.0,-262.88989242438095
596160.0,-262.8908514440348
596280.0,-262.8917750468498
596520.0,-262.8926936800475
596640.0,-262.89360547838544
596760.0,-262.89452563726627
596880.0,-262.89543974506216
597000.0,-262.896397238544
597120.0,-262.8973255961046
597240.0,-262.89827712127004
597360.0,-262.89920311485
597480.0,-262.9001239470328
597600.0,-262.9010681654061
597720.0,-262.90196612095946
597960.0,-262.9028717500936
598080.0,-262.90380683250123
598200.0,-262.9047254235538
598320.0,-262.9056707958446
598440.0,-262.90660071666736
598560.0,-262.9075536349779
598680.0,-262.90849036120926
598800.0,-262.9093906619775
598920.0,-262.9102806752237
599040.0,-262.9112167992474
599160.0,-262.9121180263313
